intent,text
REJECT,NEVERMIND
MOVIE_QUERY,Animated movies
MOVIE_QUERY,What's popular right now?
OTHER,Law question
GREETING,Hi there?
CHITCHAT,how's it going
GREETING,Greetings!
GREETING,Can you hi
OTHER,Relationship help
GREETING,I want to hey
CHITCHAT,What are your capabilities?
MOVIE_QUERY,Greatest film of all time
OTHER,I want to learn french
OTHER,Career advice
REJECT,I don't like it?
REJECT,Please don't
MOVIE_QUERY,Classic films!
REJECT,Stop suggesting
MOVIE_QUERY,Franchises
MOVIE_QUERY,Award winning films
GOODBYE,I want to cheers
MOVIE_QUERY,Latest releases
CHITCHAT,How old are you!
GREETING,yo
OTHER,Add to cart?
OTHER,Homework help
OTHER,I want to reserve a table
OTHER,Reserve a table
OTHER,Workout routine
GOODBYE,Talk to you later
REJECT,No more
REJECT,NO
GREETING,greetings
MOVIE_QUERY,CLASSIC FILMS
CHITCHAT,WHAT'S UP
MOVIE_QUERY,Need movie suggestions!
MOVIE_QUERY,Can you recent blockbusters
MOVIE_QUERY,Can you best comedy films
MOVIE_QUERY,Controversial films
GOODBYE,cheers
GOODBYE,Gotta go?
GOODBYE,See you?
MOVIE_QUERY,I want to suggest a good film
GOODBYE,Can you later
GREETING,I want to hi how are you
GOODBYE,Later
REJECT,That's incorrect
REJECT,I'd rather not
CHITCHAT,are you ai
GREETING,Can you hello there
MOVIE_QUERY,IMDB score for Avatar
OTHER,Can you reserve a table
OTHER,TRANSLATE THIS
GOODBYE,I want to cya
CHITCHAT,Can you remember things
OTHER,FIX MY COMPUTER
CHITCHAT,I want to are you human
REJECT,I want to not for me
OTHER,Plant care
MOVIE_QUERY,what are the best movies of all time
MOVIE_QUERY,Cult classics
CHITCHAT,what are you doing
REJECT,not really
OTHER,Debug this code?
GOODBYE,Can you have a nice day
REJECT,not my thing
CHITCHAT,Say something funny
REJECT,Not interested
MOVIE_QUERY,i like science fiction
CHITCHAT,Right
REJECT,I don't think so?
GOODBYE,Gotta go
REJECT,I don't want that
GOODBYE,Until we meet again
MOVIE_QUERY,War movies
OTHER,Study tips
GOODBYE,I want to see ya
MOVIE_QUERY,Trending movies?
CHITCHAT,Are you busy
GOODBYE,Bye
GOODBYE,Take it easy
OTHER,I want to speak spanish
REJECT,That's not what I want!
REJECT,On second thought no!
GOODBYE,have a good day
OTHER,Write a program!
OTHER,Renovation ideas
OTHER,SPEAK SPANISH
OTHER,Meaning of life
GREETING,Hello there?
GREETING,hello
GOODBYE,I want to talk to you later
REJECT,Not interested!
GREETING,Good evening?
OTHER,What's the capital of France
GREETING,hey there
MOVIE_QUERY,Need movie suggestions
MOVIE_QUERY,Action packed movies
CHITCHAT,Yeah
GOODBYE,have a good one
GREETING,Hey I'm back
MOVIE_QUERY,I WANT TO WATCH SOMETHING
GOODBYE,Later!
MOVIE_QUERY,I want to trending movies
REJECT,I prefer not to
GOODBYE,That's enough for today
GOODBYE,HAVE A GOOD DAY
GREETING,I want to hi there
OTHER,I want to add to cart
GREETING,GOOD MORNING
CHITCHAT,Can you how have you been
OTHER,Election results
CHITCHAT,Who are you!
REJECT,Can you nope
MOVIE_QUERY,What's the rating of Titanic
MOVIE_QUERY,Foreign films
OTHER,BUY GROCERIES
CHITCHAT,How are you
MOVIE_QUERY,Can you award winning films
MOVIE_QUERY,Recommend thriller movies?
OTHER,Qwertyuiop
MOVIE_QUERY,Sad movies
MOVIE_QUERY,I want to movies from the 90s
MOVIE_QUERY,I like science fiction?
REJECT,On second thought no?
GREETING,GOOD EVENING
GOODBYE,GOODBYE
REJECT,Exit
GREETING,SUP
CHITCHAT,Meh
CHITCHAT,Tell me about yourself?
GOODBYE,Can you have a good day
GOODBYE,I'm done
GOODBYE,See ya?
REJECT,I want to i changed my mind
GREETING,Happy to be here
GOODBYE,until next time
REJECT,Nevermind
CHITCHAT,how are you
CHITCHAT,Okay
GREETING,I want to hey what's up
MOVIE_QUERY,Long movies
CHITCHAT,Can you how are you
MOVIE_QUERY,Western movies
OTHER,Book a flight!
GOODBYE,gotta go
CHITCHAT,How are you!
OTHER,Find me a hotel
REJECT,no thanks
CHITCHAT,What day is it
GREETING,HEY
GOODBYE,TALK TO YOU LATER
GOODBYE,I want to goodbye
MOVIE_QUERY,Game changing films
REJECT,I want to i don't want that
CHITCHAT,Do you have a name?
CHITCHAT,Are you happy
GREETING,Howdy!
GREETING,Morning sunshine
MOVIE_QUERY,I LIKE SCIENCE FICTION
CHITCHAT,I understand
OTHER,What's 2 plus 2!
MOVIE_QUERY,Recommend me a movie?
GREETING,Hi?
OTHER,I want to history fact
GOODBYE,Talk to you later!
GREETING,What's going on
REJECT,Cease
REJECT,I'm done with this
OTHER,Can you book a flight
OTHER,SHOPPING CART
CHITCHAT,Can you are you ai
CHITCHAT,are you a robot
MOVIE_QUERY,MOVIES FROM THE 90S
GOODBYE,I want to peace
GREETING,Hi
GREETING,Nice to chat with you
CHITCHAT,Got it
MOVIE_QUERY,International cinema
OTHER,Geography question?
MOVIE_QUERY,I want to looking for a movie
OTHER,HISTORY FACT
OTHER,Style tips
REJECT,Can you not really
MOVIE_QUERY,Quentin Tarantino films
MOVIE_QUERY,Can you what's popular right now
GREETING,HI THERE
CHITCHAT,HOW ARE YOU DOING
CHITCHAT,I want to what's up
GREETING,I want to hello how are you doing
GREETING,Evening?
GREETING,Hi buddy
GREETING,Nice to meet you
MOVIE_QUERY,Kid friendly films
GOODBYE,Okay I'm leaving
MOVIE_QUERY,Movies with high IMDB rating!
OTHER,Reserve a table!
MOVIE_QUERY,Remakes
MOVIE_QUERY,WHAT ARE THE BEST MOVIES OF ALL TIME
REJECT,Skip that
REJECT,This isn't helpful
GOODBYE,talk to you later
GOODBYE,HAVE A NICE DAY
MOVIE_QUERY,Cast of The Dark Knight
OTHER,Write a program
GREETING,good evening
OTHER,Speak Spanish!
CHITCHAT,That's good
GREETING,HELLO
GOODBYE,Can you goodbye
OTHER,Can you buy groceries
CHITCHAT,ARE YOU A ROBOT
OTHER,WHAT'S 2 PLUS 2
MOVIE_QUERY,I want to recent blockbusters
GREETING,Hi I'm new here
REJECT,Can you that's not what i want
MOVIE_QUERY,I want to recommend thriller movies
OTHER,Shopping cart
REJECT,no
MOVIE_QUERY,Movies with plot twists
OTHER,Political opinion
GOODBYE,See you later
CHITCHAT,I want to what can you do
MOVIE_QUERY,Sci-fi epics
OTHER,Can you speak spanish
GOODBYE,I want to farewell
OTHER,Health question
MOVIE_QUERY,Prequels
GOODBYE,ttyl
OTHER,Auto maintenance
CHITCHAT,Are you human?
CHITCHAT,How do you work?
OTHER,CALCULATE THIS
CHITCHAT,are you human
GREETING,Sup!
MOVIE_QUERY,Movies with great soundtracks
GREETING,Good afternoon?
GOODBYE,Have a nice day?
MOVIE_QUERY,Movies from the 90s
REJECT,Incorrect
MOVIE_QUERY,Period dramas
REJECT,Nevermind!
REJECT,That's not good
REJECT,cancel
CHITCHAT,How are you doing
REJECT,I want to i don't think so
MOVIE_QUERY,Films like Shawshank Redemption
MOVIE_QUERY,I want to movies with high imdb rating
MOVIE_QUERY,Steven Spielberg movies
MOVIE_QUERY,I want to what are the best movies of all time
REJECT,CANCEL
OTHER,Write an essay
CHITCHAT,I want to how are you
REJECT,I don't want that?
MOVIE_QUERY,Recent blockbusters?
GOODBYE,Can you talk to you later
CHITCHAT,Can you how old are you
CHITCHAT,what's up
MOVIE_QUERY,DC movies
CHITCHAT,Share a fact
CHITCHAT,Impress me
OTHER,Technical support
REJECT,On second thought no
REJECT,Can you skip that
CHITCHAT,WHAT ARE YOUR CAPABILITIES
GOODBYE,I want to have a good one
GREETING,hey what's up
CHITCHAT,Are you human
MOVIE_QUERY,Recommend thriller movies!
GREETING,Hello there!
OTHER,Add to cart!
CHITCHAT,Where do you live?
CHITCHAT,WHO ARE YOU
REJECT,I refuse
MOVIE_QUERY,Award winning films?
MOVIE_QUERY,Can you need movie suggestions
GREETING,Morning
REJECT,Can you no
MOVIE_QUERY,I want to best comedy films
MOVIE_QUERY,Weekend movie suggestions
MOVIE_QUERY,award winning films
GREETING,Can you good afternoon
GREETING,Can you good evening
GREETING,Good afternoon
REJECT,SKIP THAT
REJECT,No?
GOODBYE,Bye?
OTHER,Cooking instructions
MOVIE_QUERY,IMAX movies
GOODBYE,Take care
MOVIE_QUERY,Epic movies
REJECT,Can you i don't think so
MOVIE_QUERY,I want to what should i watch
REJECT,Some other time
MOVIE_QUERY,Movies from the 90s?
CHITCHAT,How's the weather
GREETING,I want to evening
MOVIE_QUERY,Surround sound movies
CHITCHAT,What's your opinion
MOVIE_QUERY,MOVIES WITH HIGH IMDB RATING
OTHER,Order pizza!
MOVIE_QUERY,Low budget gems
REJECT,Not my thing
REJECT,Not really!
CHITCHAT,Do you watch movies
REJECT,Can you not for me
GREETING,Hi there!
CHITCHAT,What are you doing?
CHITCHAT,Yes
REJECT,I don't like it!
OTHER,Can you what's 2 plus 2
GOODBYE,Heading out
GOODBYE,I want to later
MOVIE_QUERY,Top rated movies
GREETING,HI
GREETING,Evening
MOVIE_QUERY,Dance movies
GOODBYE,Can you cya
MOVIE_QUERY,True story movies
CHITCHAT,You're helpful
REJECT,Can you cancel
GREETING,I want to hi
MOVIE_QUERY,Korean films
MOVIE_QUERY,Best comedy films?
GOODBYE,cya
GOODBYE,see you later
GOODBYE,See you
GREETING,Evening friend
CHITCHAT,What do you enjoy
OTHER,Calculate this
GOODBYE,Can you see ya
OTHER,I want to calculate this
GOODBYE,BYE BYE
REJECT,I want to no thanks
CHITCHAT,I want to what are you up to
MOVIE_QUERY,Disney movies
MOVIE_QUERY,Recommend thriller movies
CHITCHAT,Is it raining
REJECT,Can you actually no
MOVIE_QUERY,Most influential movies
OTHER,Fix my computer!
OTHER,Random gibberish
CHITCHAT,how old are you
CHITCHAT,HOW HAVE YOU BEEN
MOVIE_QUERY,Looking for a movie?
OTHER,Space facts
GOODBYE,I want to have a good day
REJECT,Actually no?
CHITCHAT,DO YOU HAVE A NAME
MOVIE_QUERY,movies with high imdb rating
GREETING,Can you howdy
GOODBYE,Gotta go!
CHITCHAT,How's it going!
REJECT,Don't
OTHER,order pizza
REJECT,skip that
MOVIE_QUERY,suggest a good film
CHITCHAT,Do you have emotions
MOVIE_QUERY,Censored films
MOVIE_QUERY,Hidden gems
OTHER,buy groceries
CHITCHAT,where do you live
OTHER,Shopping cart!
MOVIE_QUERY,SHOW ME DRAMA MOVIES
REJECT,I CHANGED MY MIND
MOVIE_QUERY,Horror movie recommendations
OTHER,How to play piano
GOODBYE,Alright thank you goodbye
CHITCHAT,That's nice
OTHER,Legal advice
CHITCHAT,HOW DO YOU WORK
REJECT,Not yet
MOVIE_QUERY,Movies for family
REJECT,Skip that?
MOVIE_QUERY,Trending movies
MOVIE_QUERY,Bollywood movies
CHITCHAT,WHERE ARE YOU FROM
MOVIE_QUERY,Mind bending movies
GREETING,Sup
GREETING,Good afternoon!
MOVIE_QUERY,what's popular right now
OTHER,Can you code in python
GOODBYE,Have a nice day!
MOVIE_QUERY,Movies with high IMDB rating?
CHITCHAT,I want to how have you been
REJECT,Wrong answer
GREETING,Hey there?
GOODBYE,bye
REJECT,I want to that's not what i want
GREETING,Hi movie helper
REJECT,I'll pass?
OTHER,Code in Python
REJECT,i don't like it
MOVIE_QUERY,Best comedy films!
OTHER,speak spanish
CHITCHAT,Where do you live!
GREETING,Hiya?
OTHER,I want to what's the capital of france
GOODBYE,Goodbye for now
GOODBYE,Have a nice day
OTHER,Dating advice
GREETING,I want to howdy
CHITCHAT,I want to how's it going
MOVIE_QUERY,I want to award winning films
GREETING,YO
CHITCHAT,Can you where are you from
CHITCHAT,Who are you
GOODBYE,See you!
CHITCHAT,What can you do?
CHITCHAT,Tell me something interesting
MOVIE_QUERY,Romance movies
CHITCHAT,I want to how do you work
GREETING,Hello?
MOVIE_QUERY,Psychological thrillers
GOODBYE,Time to go
OTHER,Cryptocurrency
GREETING,Hey
CHITCHAT,Good
GOODBYE,Talk to you later?
MOVIE_QUERY,I want to i want to watch something
GOODBYE,Can you see you later
MOVIE_QUERY,Recommend me a movie
CHITCHAT,do you have a name
GREETING,I want to good afternoon
REJECT,Maybe later
GOODBYE,Peace!
REJECT,Not at this time
GREETING,Greetings?
REJECT,Not my thing!
CHITCHAT,Surprise me
REJECT,End this
CHITCHAT,What's up
MOVIE_QUERY,What's popular right now
REJECT,I want to no
CHITCHAT,Where are you from?
GOODBYE,Be well
GREETING,HI HOW ARE YOU
OTHER,Am I sick
MOVIE_QUERY,Movies with Leonardo DiCaprio
CHITCHAT,Are you AI?
MOVIE_QUERY,Underrated movies
GREETING,Hey first time here
OTHER,Buy groceries?
CHITCHAT,How's it going?
OTHER,I want to translate this
MOVIE_QUERY,Pixar films
MOVIE_QUERY,Can you what should i watch
REJECT,I changed my mind
REJECT,Can you not interested in that
MOVIE_QUERY,What are the best movies of all time
REJECT,Hell no
MOVIE_QUERY,Musical films
OTHER,Vacation spots
OTHER,code in python
REJECT,not interested
REJECT,Not interested in that
GREETING,hey
MOVIE_QUERY,Video game movies
REJECT,NOT INTERESTED IN THAT
GREETING,Can you good morning
OTHER,LEARN FRENCH
MOVIE_QUERY,Movies from the 90s!
MOVIE_QUERY,Can you looking for a movie
REJECT,NOT REALLY
GREETING,HIYA
MOVIE_QUERY,Old classics
REJECT,Try again
GOODBYE,I want to gotta go
GOODBYE,Can you take care
MOVIE_QUERY,Can you i like science fiction
GREETING,what's up
MOVIE_QUERY,Director's cut movies
OTHER,Can you history fact
MOVIE_QUERY,what's a good action movie
GOODBYE,That's it
REJECT,I want to not interested in that
CHITCHAT,What are you doing
OTHER,I want to what's 2 plus 2
GOODBYE,have a nice day
MOVIE_QUERY,Emotional films
MOVIE_QUERY,Date night movies
MOVIE_QUERY,Classic films
OTHER,Resume writing
MOVIE_QUERY,Scary films
GREETING,Hello!
OTHER,Can you shopping cart
REJECT,i don't want that
GREETING,Hiya!
CHITCHAT,Make me laugh
GOODBYE,Can you until next time
REJECT,I don't want to continue
CHITCHAT,I want to what are your capabilities
REJECT,I'll pass!
MOVIE_QUERY,French cinema
GOODBYE,Farewell?
GOODBYE,Can you ttyl
GOODBYE,Thanks for your help goodbye
CHITCHAT,WHAT'S YOUR NAME
MOVIE_QUERY,Indie movies
MOVIE_QUERY,trending movies
GREETING,Morning!
CHITCHAT,Sure
REJECT,NOT FOR ME
GREETING,Can you hi there
GREETING,Sup?
CHITCHAT,How's it going
OTHER,geography question
REJECT,Can you i'll pass
GOODBYE,Perfect thank you bye
GOODBYE,see ya
GREETING,Hi I need help with movies
REJECT,Stop
REJECT,I decline
GOODBYE,Farewell!
MOVIE_QUERY,Marvel films
REJECT,that's not what i want
GREETING,HEY WHAT'S UP
CHITCHAT,How old are you
GOODBYE,Can you bye
GOODBYE,See ya
REJECT,Not really?
REJECT,Not interested in that?
OTHER,Physics question
GREETING,Hello I want movie suggestions
OTHER,Hello world
OTHER,Lorem ipsum
REJECT,ACTUALLY NO
CHITCHAT,HOW OLD ARE YOU
GOODBYE,I want to have a nice day
GREETING,Hey AI
REJECT,I want to not really
OTHER,I want to find me a hotel
OTHER,Team standings
CHITCHAT,Entertain me
GOODBYE,Goodbye
OTHER,Translate this
OTHER,Stock prices
GREETING,Yo!
OTHER,Psychology facts
MOVIE_QUERY,Show me drama movies
MOVIE_QUERY,Recommend me a movie!
REJECT,No!
GOODBYE,I have to go
MOVIE_QUERY,Can you trending movies
GOODBYE,I'll come back later
OTHER,Calculate this?
CHITCHAT,Whatever
MOVIE_QUERY,I want to watch something!
GREETING,Hi chatbot
CHITCHAT,What's your name!
OTHER,Test test test
REJECT,Can you nevermind
MOVIE_QUERY,I want to show me drama movies
REJECT,Wait
GOODBYE,Take care!
GREETING,Hey what's up?
GOODBYE,Until next time?
GOODBYE,SEE YOU LATER
GOODBYE,I want to bye
GREETING,Can you hello
OTHER,Travel destinations
MOVIE_QUERY,Extended editions
CHITCHAT,How are you doing?
CHITCHAT,What's your hobby
GREETING,I want to hiya
OTHER,History fact?
REJECT,No thanks!
GREETING,HELLO THERE
OTHER,I don't know what to say
OTHER,what's 2 plus 2
MOVIE_QUERY,Movies to watch with friends
CHITCHAT,WHERE DO YOU LIVE
CHITCHAT,What's your favorite movie
MOVIE_QUERY,Can you recommend thriller movies
REJECT,Actually no!
REJECT,I want to not my thing
GREETING,I want to yo
GOODBYE,Thank you goodbye
OTHER,Music lessons
MOVIE_QUERY,Christopher Nolan movies
MOVIE_QUERY,Movies with high IMDB rating
REJECT,I've had enough
GOODBYE,I need to leave
MOVIE_QUERY,I want to what's popular right now
MOVIE_QUERY,I want to i like science fiction
MOVIE_QUERY,What's a good movie for tonight
MOVIE_QUERY,Based on real events
GREETING,Greetings
CHITCHAT,ARE YOU HUMAN
GREETING,Can you hello how are you doing
GREETING,hiya
OTHER,Shopping cart?
CHITCHAT,Who are you?
CHITCHAT,WHAT ARE YOU DOING
OTHER,Code in Python!
GOODBYE,goodbye
MOVIE_QUERY,Unpredictable films
CHITCHAT,How have you been
GOODBYE,Thanks and goodbye
OTHER,Job search
MOVIE_QUERY,Reboots
CHITCHAT,Do you learn
GREETING,Hey what's up!
CHITCHAT,What keeps you occupied
MOVIE_QUERY,Top 10 movies
GREETING,Good morning!
REJECT,Actually no
OTHER,Learn French
GREETING,Hello pal
GOODBYE,SEE YA
MOVIE_QUERY,recommend thriller movies
OTHER,Sports scores
REJECT,That's not what I want?
GOODBYE,Can you gotta go
GOODBYE,Okay thanks see you
OTHER,BOOK A FLIGHT
CHITCHAT,Are you a robot?
GREETING,Hi how are you?
